Estructura,N,Trial,Preprocesamiento_ns,TiempoBatch_s,Throughput,Memoria_Bytes
Block_Decomp,1024,27,9132,0.880919,5675890.320667,128
Sparse_Table,1024,27,124774,0.117601,42516809.403249,53248
Segment_Tree,1024,27,49739,1.758587,2843191.532376,16388
Hybrid_1,1024,27,20934,0.639245,7821730.509725,3708
Hybrid_2,1024,27,73848,0.370154,13507905.615228,29116
Hybrid_3,1024,27,94118,1.226197,4077647.473318,15220
Fischer_Heun,1024,27,53188,0.243948,20496210.635982,17537
Naive,1024,28,395,3.031435,1649383.631621,0
Full_Precalc,1024,28,4964591,0.023285,214732071.707972,4202496
Block_Decomp,1024,28,6531,1.044413,4787376.953904,128
Sparse_Table,1024,28,114370,0.135072,37017311.745518,53248
Segment_Tree,1024,28,49323,1.866497,2678815.261034,16388
Hybrid_1,1024,28,28714,0.727841,6869633.987206,3708
Hybrid_2,1024,28,78691,0.352473,14185478.116674,29116
Hybrid_3,1024,28,80651,1.263732,3956534.036176,15220
Fischer_Heun,1024,28,52646,0.212458,23534105.517459,17487
Naive,1024,29,341,2.843818,1758199.748165,0
Full_Precalc,1024,29,5614938,0.028551,175128177.188525,4202496
Block_Decomp,1024,29,8624,0.978741,5108604.022364,128
Sparse_Table,1024,29,121075,0.125814,39741182.528454,53248
Segment_Tree,1024,29,65629,1.818764,2749119.119692,16388
Hybrid_1,1024,29,22883,0.637901,7838202.285857,3708
Hybrid_2,1024,29,71838,0.398060,12560930.940635,29116
Hybrid_3,1024,29,94257,1.083405,4615080.945898,15220
Fischer_Heun,1024,29,54142,0.238055,21003561.157995,17537
Naive,1024,30,307,3.007436,1662545.587457,0
Full_Precalc,1024,30,3946783,0.018312,273043059.436559,4202496
Block_Decomp,1024,30,8230,0.941744,5309295.939118,128
Sparse_Table,1024,30,103489,0.146533,34121978.237794,53248
Segment_Tree,1024,30,40902,1.783314,2803768.666588,16388
Hybrid_1,1024,30,23997,0.652625,7661371.651130,3708
Hybrid_2,1024,30,83073,0.442549,11298192.073925,29116
Hybrid_3,1024,30,98156,1.206206,4145229.450210,15220
Fischer_Heun,1024,30,58594,0.259394,19275731.431219,17512
Naive,4096,1,405,11.280329,443249.478562,0
Full_Precalc,4096,1,78782609,0.063618,78593662.606303,67141632
Block_Decomp,4096,1,31057,1.738916,2875354.971053,256
Sparse_Table,4096,1,943751,0.172931,28913261.972010,245760
Segment_Tree,4096,1,139539,2.602614,1921145.151776,65540
Hybrid_1,4096,1,69970,0.756336,6610822.807546,15048
Hybrid_2,4096,1,328001,0.451191,11081791.596439,116096
Hybrid_3,4096,1,256044,1.258537,3972867.555295,53328
Fischer_Heun,4096,1,157004,0.200838,24895647.404340,69792
Naive,4096,2,268,10.925888,457628.715033,0
Full_Precalc,4096,2,70781792,0.081921,61034601.186793,67141632
Block_Decomp,4096,2,23992,1.476844,3385597.414543,256
Sparse_Table,4096,2,520267,0.125067,39978432.115615,245760
Segment_Tree,4096,2,146356,2.172428,2301572.396239,65540
Hybrid_1,4096,2,55529,0.676718,7388598.727780,15048
Hybrid_2,4096,2,515799,0.429550,11640092.041653,116096
Hybrid_3,4096,2,211165,1.244372,4018092.186541,53328
Fischer_Heun,4096,2,134638,0.244245,20471285.345660,70008
Naive,4096,3,259,11.850812,421912.023344,0
Full_Precalc,4096,3,76017860,0.091047,54916530.333634,67141632
Block_Decomp,4096,3,32715,1.512545,3305686.316183,256
Sparse_Table,4096,3,469514,0.120568,41470411.056622,245760
Segment_Tree,4096,3,140470,2.098620,2382518.537455,65540
Hybrid_1,4096,3,69430,0.674370,7414325.390396,15048
Hybrid_2,4096,3,287312,0.421987,11848717.976535,116096
Hybrid_3,4096,3,269879,1.176671,4249275.157156,53328
Fischer_Heun,4096,3,139520,0.216079,23139634.476708,69864
Naive,4096,4,280,10.760694,464654.038077,0
